bridge,seed,method,macro_edge_f1,family_mean_edge_precision,family_mean_edge_recall,family_mean_split_exact,family_mean_merge_exact,family_mean_overall_exact,n_pred_edges_total,mean_edges_per_family
Poly,416,HUNGARIAN_1TO1,0.43968007074624715,0.45089285714285715,0.4323833573833573,0.0,0.0,0.0,289,12.041666666666666
Poly,416,THRESHOLD_MM,0.09146440590406107,0.05555555555555555,0.26411886724386724,0.0,0.0,0.0,564,23.5
Poly,416,DUAL_SOFTMAX,0.2563430782180782,1.0,0.14766113516113516,0.0,0.0,0.0,48,2.0
Poly,417,UOT_KR,0.43366727173325464,0.38425925925925924,0.5067482864357863,0.0,0.0,0.0,432,18.0
Poly,417,RAW_UOT_PLAN,0.12146547946664045,0.10879629629629628,0.1401462542087542,0.0,0.0,0.0,432,18.0
Poly,417,CONDITIONAL_UOT,0.4038701226104477,0.3587962962962963,0.47043876262626255,0.0,0.0,0.0,432,18.0
Poly,417,SUPPORT_PLUS_K,0.43366727173325464,0.38425925925925924,0.5067482864357863,0.0,0.0,0.0,432,18.0
Poly,417,HUNGARIAN_1TO1,0.3499352091263856,0.36359126984126977,0.34054307960557956,0.0,0.0,0.0,289,12.041666666666666
Poly,417,THRESHOLD_MM,0.09246728871728871,0.05555555555555555,0.2816220238095238,0.0,0.0,0.0,588,24.5
Poly,417,DUAL_SOFTMAX,0.2503010878010878,1.0,0.14361847643097644,0.0,0.0,0.0,48,2.0
Poly,418,UOT_KR,0.4487920168067227,0.3912037037037037,0.5333581349206349,0.0,0.0,0.0,432,18.0
Poly,418,RAW_UOT_PLAN,0.1236714130096483,0.10879629629629628,0.14537863756613756,0.0,0.0,0.0,423,17.625
Poly,418,CONDITIONAL_UOT,0.4156322945845005,0.3625,0.494171626984127,0.0,0.0,0.0,433,18.041666666666668
Poly,418,SUPPORT_PLUS_K,0.4487920168067227,0.3912037037037037,0.5333581349206349,0.0,0.0,0.0,432,18.0
Poly,418,HUNGARIAN_1TO1,0.4028133903133903,0.4131944444444444,0.3953786375661375,0.0,0.0,0.0,288,12.0
Poly,418,THRESHOLD_MM,0.11513139258522297,0.06944444444444443,0.3448247354497354,0.0,0.0,0.0,672,28.0
Poly,418,DUAL_SOFTMAX,0.2584605209605209,1.0,0.1488508597883598,0.0,0.0,0.0,48,2.0
Poly,419,UOT_KR,0.45159881935230234,0.39583333333333326,0.5357661435786435,0.0,0.0,0.0,432,18.0
Poly,419,RAW_UOT_PLAN,0.12553293978410077,0.1111111111111111,0.14733871452621453,0.0,0.0,0.0,432,18.0
Poly,419,CONDITIONAL_UOT,0.41901780083378376,0.36574074074074064,0.49916501322751317,0.0,0.0,0.0,432,18.0
Poly,419,SUPPORT_PLUS_K,0.45159881935230234,0.39583333333333326,0.5357661435786435,0.0,0.0,0.0,432,18.0
Poly,419,HUNGARIAN_1TO1,0.42236601905719545,0.43402777777777773,0.4146998256373256,0.0,0.0,0.0,288,12.0
Poly,419,THRESHOLD_MM,0.1028504837145575,0.0625,0.29543650793650794,0.0,0.0,0.0,594,24.75
Poly,419,DUAL_SOFTMAX,0.2558871683871684,1.0,0.14733871452621453,0.0,0.0,0.0,48,2.0
Poly,420,UOT_KR,0.43329240687503073,0.38425925925925924,0.5065476190476189,0.0,0.0,0.0,432,18.0
Poly,420,RAW_UOT_PLAN,0.12160945152914966,0.10879629629629628,0.14078207671957668,0.0,0.0,0.0,432,18.0
Poly,420,CONDITIONAL_UOT,0.42376859735122113,0.375,0.4961309523809523,0.0,0.0,0.0,432,18.0
Poly,420,SUPPORT_PLUS_K,0.43329240687503073,0.38425925925925924,0.5065476190476189,0.0,0.0,0.0,432,18.0
Poly,420,HUNGARIAN_1TO1,0.357360347985348,0.3715277777777777,0.3477513227513227,0.0,0.0,0.0,288,12.0
Poly,420,THRESHOLD_MM,0.11314018372841901,0.06944444444444443,0.30778769841269843,0.0,0.0,0.0,654,27.25
Poly,420,DUAL_SOFTMAX,0.24987963425463425,1.0,0.14338624338624337,0.0,0.0,0.0,48,2.0
