bridge,seed,template_id,truth_side,representation_side
Celer,417,eth_flow_395d236937a54a__r7fam08__inst00,1,1
Celer,417,eth_flow_3a874eda391e42__r7fam08__inst01,1,1
Celer,417,eth_flow_3c2c3b9887b443__r7fam21__inst00,1,1
Celer,417,eth_flow_3d083683848145__r7fam14__inst01,1,1
Celer,417,eth_flow_41432321361342__r7fam01__inst00,1,1
Celer,417,eth_flow_431646cc58cc44__r7fam02__inst01,1,1
Celer,417,eth_flow_44e29fb341c44e__r7fam07__inst01,1,1
Celer,417,eth_flow_46cfba9168d54e__r7fam04__inst01,1,1
Celer,417,eth_flow_506b58caa8d74d__r7fam15__inst01,1,1
Celer,417,eth_flow_5b32cabe8cc743__r7fam01__inst01,1,1
Celer,417,eth_flow_5df29215b8b94c__r7fam18__inst01,1,1
Celer,417,eth_flow_5f6624cedb8c47__r7fam13__inst01,1,1
Celer,417,eth_flow_6a4c40a779ef45__r7fam21__inst01,1,1
Celer,417,eth_flow_717790da9e5f46__r7fam14__inst00,1,1
Celer,417,eth_flow_7c8585836b8548__r7fam13__inst00,1,1
Celer,417,eth_flow_7fa0c3bf29fb49__r7fam03__inst00,1,1
Celer,417,eth_flow_86a1b58e59fe41__r7fam19__inst01,1,1
Celer,417,eth_flow_875335bcec1647__r7fam10__inst00,1,1
Celer,417,eth_flow_8992040c7c2345__r7fam18__inst00,1,1
Celer,417,eth_flow_989363af0d734b__r7fam17__inst01,1,1
Celer,417,eth_flow_9a75635d17ad45__r7fam15__inst00,1,1
Celer,417,eth_flow_9f2f40971fb94b__r7fam06__inst00,1,1
Celer,417,eth_flow_a8a9d62d9d464a__r7fam12__inst01,1,1
Celer,417,eth_flow_b0a4d1a76c1f45__r7fam05__inst00,1,1
Celer,417,eth_flow_b2dbc5acde0442__r7fam20__inst00,1,1
Celer,417,eth_flow_b2fe5e76cd724a__r7fam10__inst01,1,1
Celer,417,eth_flow_b4e0bf5fa5024b__r7fam06__inst01,1,1
Celer,417,eth_flow_b5bb49db2f324c__r7fam17__inst00,1,1
Celer,417,eth_flow_c13065e767594c__r7fam22__inst00,1,1
Celer,417,eth_flow_c32fbdddc0c74f__r7fam05__inst01,1,1
Celer,417,eth_flow_c96916a069e941__r7fam19__inst00,1,1
Celer,417,eth_flow_d9d4edd8ec8046__r7fam09__inst00,1,1
Celer,417,eth_flow_dba2566145d44b__r7fam23__inst00,1,1
Celer,417,eth_flow_de9689226f3841__r7fam00__inst01,1,1
Celer,417,eth_flow_e3f363d8c8b344__r7fam22__inst01,1,1
Celer,417,eth_flow_e7635cb7d2e64d__r7fam16__inst01,1,1
Celer,417,eth_flow_ef57bf0dad344e__r7fam23__inst01,1,1
Celer,417,eth_flow_f54db09fb08c45__r7fam11__inst01,1,1
Celer,418,eth_flow_0094d71bf3a440__r7fam18__inst00,1,1
Celer,418,eth_flow_00b34dc613934a__r7fam13__inst01,1,1
Celer,418,eth_flow_00e485aaa9354e__r7fam15__inst00,1,1
Celer,418,eth_flow_04003f6c02ab4b__r7fam14__inst00,1,1
Celer,418,eth_flow_055677152cb04e__r7fam22__inst01,1,1
Celer,418,eth_flow_073128b6c38e4d__r7fam10__inst01,1,1
Celer,418,eth_flow_11fa6650b3d145__r7fam23__inst00,1,1
Celer,418,eth_flow_2557a3efac2c49__r7fam16__inst00,1,1
Celer,418,eth_flow_2731a4e0113545__r7fam19__inst01,1,1
Celer,418,eth_flow_275620d1fcf146__r7fam04__inst01,1,1
Celer,418,eth_flow_27c8808558ef44__r7fam07__inst01,1,1
Celer,418,eth_flow_28cbe2b10a204e__r7fam10__inst00,1,1
Celer,418,eth_flow_2be21058db5b4f__r7fam06__inst01,1,1
Celer,418,eth_flow_2da8cce037df4b__r7fam09__inst00,1,1
Celer,418,eth_flow_352e3d706b904f__r7fam04__inst00,1,1
Celer,418,eth_flow_358b31834f8943__r7fam05__inst01,1,1
Celer,418,eth_flow_3ab4a92e1d5e43__r7fam12__inst01,1,1
Celer,418,eth_flow_457af90c651249__r7fam07__inst00,1,1
Celer,418,eth_flow_49d71ff4260849__r7fam22__inst00,1,1
Celer,418,eth_flow_4b744ae517aa49__r7fam20__inst00,1,1
Celer,418,eth_flow_5011aa66108247__r7fam06__inst00,1,1
Celer,418,eth_flow_5027cbaa3a8549__r7fam23__inst01,1,1
Celer,418,eth_flow_511aa3c428f04c__r7fam17__inst01,1,1
Celer,418,eth_flow_5ad75b6e10cb44__r7fam03__inst01,1,1
Celer,418,eth_flow_7a2bee53289941__r7fam18__inst01,1,1
Celer,418,eth_flow_8285580224e343__r7fam16__inst01,1,1
Celer,418,eth_flow_85606d8cc2ad4d__r7fam00__inst01,1,1
Celer,418,eth_flow_89f64f48757049__r7fam01__inst01,1,1
Celer,418,eth_flow_908c9fde112749__r7fam02__inst00,1,1
Celer,418,eth_flow_a2e3aca60cc241__r7fam08__inst00,1,1
Celer,418,eth_flow_a80dbce45d7146__r7fam13__inst00,1,1
Celer,418,eth_flow_ab8101ba2a2042__r7fam08__inst01,1,1
Celer,418,eth_flow_aecb0d965a614e__r7fam15__inst01,1,1
Celer,418,eth_flow_af44ce568fd04a__r7fam17__inst00,1,1
