bridge,seed,k,epsilon,lambda,method,delta_s_total,delta_t_total,delta_total,marginal_violation_row_l1,marginal_violation_col_l1,transport_mass_total,mass_retained_fraction,precision,recall,macro_edge_f1,sinkhorn_iterations,sinkhorn_converged,run_id
Multi,203,5.0,0.05,0.1,RAW_UOT_PLAN_D4,0.7902099608760835,0.7902099608760838,1.5804199217521673,0.7902099608760835,0.7902099608760838,0.2097900391239164,0.2097900391239164,0.1340625,0.53125,0.21256062485901195,33,True,2026-09-17T03:14:52Z__pid29540
Multi,203,5.0,0.05,0.25,CONDITIONAL_UOT_D4,0.5175441161279846,0.5175441161279848,1.0350882322559694,0.5175441161279846,0.5175441161279848,0.4824558838720154,0.4824558838720154,0.19416666666666668,0.798611111111111,0.31165994623655907,70,True,2026-09-17T03:14:52Z__pid29540
Multi,203,5.0,0.05,0.25,RAW_UOT_PLAN_D4,0.5175441161279846,0.5175441161279848,1.0350882322559694,0.5175441161279846,0.5175441161279848,0.4824558838720154,0.4824558838720154,0.13427083333333334,0.5347222222222222,0.21312927663734116,70,True,2026-09-17T03:14:52Z__pid29540
Multi,203,5.0,0.05,0.5,CONDITIONAL_UOT_D4,0.3207849597079028,0.3207849597079028,0.6415699194158055,0.3207849597079028,0.3207849597079028,0.6792150402920973,0.6792150402920973,0.1925,0.7916666666666666,0.3089717741935483,131,True,2026-09-17T03:14:50Z__pid29540
Multi,203,5.0,0.05,0.5,RAW_UOT_PLAN_D4,0.3207849597079028,0.3207849597079028,0.6415699194158055,0.3207849597079028,0.3207849597079028,0.6792150402920973,0.6792150402920973,0.13479166666666667,0.5381944444444443,0.21414909015715466,131,True,2026-09-17T03:14:50Z__pid29540
Multi,203,5.0,0.05,1.0,CONDITIONAL_UOT_D4,0.18099837170774882,0.18099837170774932,0.36199674341549815,0.18099837170774882,0.18099837170774932,0.8190016282922512,0.8190016282922512,0.19416666666666668,0.798611111111111,0.31165994623655907,250,True,2026-09-17T03:14:53Z__pid29540
Multi,203,5.0,0.05,1.0,RAW_UOT_PLAN_D4,0.18099837170774882,0.18099837170774932,0.36199674341549815,0.18099837170774882,0.18099837170774932,0.8190016282922512,0.8190016282922512,0.13652777777777778,0.5416666666666666,0.21646390497196952,250,True,2026-09-17T03:14:53Z__pid29540
Multi,203,5.0,0.05,2.0,CONDITIONAL_UOT_D4,0.0965162304199937,0.09651623041999388,0.1930324608399876,0.0965162304199937,0.09651623041999388,0.9034837695800062,0.9034837695800062,0.19333333333333333,0.7951388888888888,0.3103158602150537,480,True,2026-09-17T03:14:53Z__pid29540
Multi,203,5.0,0.05,2.0,RAW_UOT_PLAN_D4,0.0965162304199937,0.09651623041999388,0.1930324608399876,0.0965162304199937,0.09651623041999388,0.9034837695800062,0.9034837695800062,0.13789402173913043,0.548611111111111,0.21887640307412273,480,True,2026-09-17T03:14:53Z__pid29540
Multi,204,5.0,0.05,0.1,CONDITIONAL_UOT_D4,0.7680595208689003,0.7680595208689003,1.5361190417378006,0.7680595208689003,0.7680595208689003,0.2319404791310999,0.2319404791310999,0.17250000000000001,0.7083333333333334,0.2767137096774193,33,True,2026-09-17T03:14:55Z__pid29540
